实际值	预测值
1	0.99882126
1	0.99595636
1	1.1183188
1	0.98516
1	1.1519216
1	1.0122751
1	0.99877053
1	0.9993653
1	1.0001898
1	1.029087
1	1.0509605
1	1.0202597
1	1.0063833
1	0.9957399
1	0.9979504
1	1.0002583
1	0.9955724
1	0.9763264
1	1.0095894
1	1.0126638
1	0.995431
1	1.0001487
1	1.0171683
1	1.229377
1	0.9965512
1	0.9957297
1	0.99799985
1	1.0175022
1	1.0084668
1	0.9775351
1	1.0011141
1	1.0070288
1	0.9968095
1	1.0014834
1	1.0081962
1	1.2541133
1	1.1386158
1	0.9901994
1	1.0344592
1	0.99961257
1	1.0002996
1	0.9991954
1	0.99983674
1	1.0116574
1	0.9894281
2	1.2080396
1	0.99543005
1	0.9711693
1	1.0435266
1	1.0729072
1	1.0042301
1	0.9981544
1	0.9999893
1	1.0168816
1	1.0000682
1	1.0006738
1	1.2123978
1	0.9925219
2	1.3356167
1	0.99599
1	0.99940443
1	0.99770755
1	1.0206867
1	0.9994919
1	1.058976
1	1.0399255
1	1.034393
1	1.2777764
1	0.9990923
1	0.9936612
1	0.9940352
2	0.98709714
1	1.0004817
1	1.0383815
1	1.0025886
1	1.0000852
1	0.99597573
1	0.99798894
1	1.0151849
1	0.9995447
