实际值	预测值
1	1.0070168
1	1.1206763
1	1.1195626
1	0.97207564
1	1.1171346
1	1.011103
1	1.0008762
1	0.9975617
1	1.0008442
1	0.99490166
1	1.1475312
1	1.1524931
1	1.0985054
1	0.9782147
1	0.99697614
1	1.0096688
1	1.0001482
1	0.9712664
1	1.2015657
1	1.0031159
1	1.0547462
1	0.99813986
1	1.0150095
1	1.0030395
1	1.0070261
1	0.9967504
1	0.9995025
1	0.9683652
1	0.99795306
1	0.99586517
1	1.1271235
1	1.0094512
1	0.99665475
1	1.0037621
1	0.9832151
1	1.0961039
1	1.1594112
1	0.99203306
1	1.1159146
1	0.9985697
1	1.0006438
1	1.0004007
1	0.9996784
1	1.007777
1	0.96614474
2	1.2883443
1	0.99818796
1	0.99774754
1	1.0017661
1	1.0016624
1	0.9985872
1	1.0371681
1	0.9993007
1	1.0127541
1	1.0012441
1	0.99908525
1	1.0278717
1	0.999417
2	1.4044225
1	0.98984826
1	0.997941
1	0.9990935
1	0.9733511
1	0.9982529
